Tranche OptimalSecuritisation
Securitisation Rate: ,0.88, Capital Accumulation: ,-3.717725278894228
Securitisation Rate: ,0.89, Capital Accumulation: ,-3.823213599065265
Securitisation Rate: ,0.9, Capital Accumulation: ,-3.9305210763132457
Securitisation Rate: ,0.91, Capital Accumulation: ,-4.039627524534945
Securitisation Rate: ,0.92, Capital Accumulation: ,-4.150512338721123
Securitisation Rate: ,0.93, Capital Accumulation: ,-4.263154498772998
Securitisation Rate: ,0.9400000000000001, Capital Accumulation: ,-4.377532573420175
Securitisation Rate: ,0.9500000000000001, Capital Accumulation: ,-4.493624724238321
Securitisation Rate: ,0.96, Capital Accumulation: ,-4.611408709767314
Securitisation Rate: ,0.97, Capital Accumulation: ,-4.7308618897277075
Securitisation Rate: ,0.98, Capital Accumulation: ,-4.851961229336288
Securitisation Rate: ,0.99, Capital Accumulation: ,-4.974683303720427
Securitisation Rate: ,1.0, Capital Accumulation: ,-5.099004302429068

