Tranche OptimalSecuritisationSnrTranche
Securitisation Rate: ,0.92, Capital Accumulation: ,6.008593416326874
Securitisation Rate: ,0.93, Capital Accumulation: ,5.950445426932121
Securitisation Rate: ,0.9400000000000001, Capital Accumulation: ,5.890596910208251
Securitisation Rate: ,0.9500000000000001, Capital Accumulation: ,5.829049177909357
Securitisation Rate: ,0.96, Capital Accumulation: ,5.765803674526704
Securitisation Rate: ,0.97, Capital Accumulation: ,5.7008619773570866
Securitisation Rate: ,0.98, Capital Accumulation: ,5.634225796560384
Securitisation Rate: ,0.99, Capital Accumulation: ,5.565896975206566
Securitisation Rate: ,1.0, Capital Accumulation: ,5.495877489311465

