Tranche OptimalSecuritisationJnrTranche
Securitisation Rate: ,0.89, Capital Accumulation: ,-24.99442430814914
Securitisation Rate: ,0.9, Capital Accumulation: ,-25.194122271759515
Securitisation Rate: ,0.91, Capital Accumulation: ,-25.395556076704885
Securitisation Rate: ,0.92, Capital Accumulation: ,-25.59866426794507
Securitisation Rate: ,0.93, Capital Accumulation: ,-25.803384668980016
Securitisation Rate: ,0.9400000000000001, Capital Accumulation: ,-26.009654401445374
Securitisation Rate: ,0.9500000000000001, Capital Accumulation: ,-26.217409905000558
Securitisation Rate: ,0.96, Capital Accumulation: ,-26.426586957503638
Securitisation Rate: ,0.97, Capital Accumulation: ,-26.637120695467317
Securitisation Rate: ,0.98, Capital Accumulation: ,-26.848945634791374
Securitisation Rate: ,0.99, Capital Accumulation: ,-27.061995691764867
Securitisation Rate: ,1.0, Capital Accumulation: ,-27.27620420433283

